date,trips,avg_dist,avg_fare,avg_dur,revenue
2023-01-15,92543,3.58,18.49,13.5,2491107.0
2023-01-16,76775,3.97,19.63,13.9,2196287.0
2023-01-17,96971,3.43,18.59,15.0,2696757.0
2023-01-18,102113,3.2,17.94,14.9,2751277.0
2023-01-19,109528,3.02,17.75,15.7,2919516.0
2023-01-20,105240,3.19,17.81,14.9,2813431.0
2023-01-21,107439,3.04,16.94,13.4,2663579.0
2023-01-22,85689,3.69,18.77,13.6,2342049.0
2023-01-23,86272,3.39,18.03,14.2,2333409.0
2023-01-24,99939,3.07,17.41,14.5,2625324.0
2023-01-25,104401,2.91,16.99,14.5,2686102.0
2023-01-26,110302,3.18,17.96,15.1,2979228.0
2023-01-27,107214,3.16,17.71,14.7,2859495.0
2023-01-28,106806,2.99,17.03,14.0,2660307.0
2023-01-29,84183,3.7,18.82,13.6,2306285.0
2023-01-30,80536,3.49,18.51,14.5,2223711.0
2023-01-31,96444,3.04,17.79,15.3,2568241.0
2023-02-01,103147,3.05,17.3,14.5,2692021.0
2023-02-02,108212,3.07,17.5,14.9,2856806.0
2023-02-03,108897,3.01,17.07,14.2,2820985.0
2023-02-04,92391,3.0,16.82,13.3,2282841.0
2023-02-05,79969,3.79,19.24,13.9,2235293.0
2023-02-06,87345,3.47,18.47,14.6,2412516.0
2023-02-07,101843,3.05,17.39,14.7,2671921.0
2023-02-08,104193,3.07,17.59,14.9,2762268.0
2023-02-09,110458,3.22,18.41,15.8,3041169.0
2023-02-10,109679,3.22,18.13,15.5,2981531.0
2023-02-11,109367,3.05,17.56,14.8,2790194.0
2023-02-12,90050,3.68,18.7,13.6,2452172.0
2023-02-13,89155,3.43,18.35,14.4,2440660.0
2023-02-14,103867,3.02,17.79,15.6,2762368.0
2023-02-15,106093,3.36,18.65,15.4,2963734.0
2023-02-16,108270,3.21,18.27,15.7,2960946.0
2023-02-17,106610,3.22,18.07,15.4,2897267.0
2023-02-18,100511,3.2,17.83,14.4,2601428.0
2023-02-19,85933,3.66,18.97,14.1,2358486.0
2023-02-20,76353,4.15,20.25,14.1,2234774.0
2023-02-21,95945,3.39,18.45,15.0,2645494.0
2023-02-22,106299,3.18,18.19,15.5,2889555.0
2023-02-23,110620,3.26,18.4,15.5,3039313.0
2023-02-24,110456,3.2,17.93,15.0,2971993.0
2023-02-25,107685,3.13,17.5,14.0,2748346.0
2023-02-26,86793,3.88,19.52,14.0,2457541.0
2023-02-27,88798,3.54,18.73,15.0,2481331.0
2023-02-28,96581,3.3,17.83,14.1,2589805.0
2023-03-01,110427,3.25,18.37,15.6,3032138.0
